String,Applicant,Website,Location,Region,Primary Contact,Email,IDN?,A-Label,English Meaning,Script Code,Community?,Geographic?,Application ID
католик,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),http://www.pccsva.org/,VA,EUR,Ms. Eloisa Romani,e.romani@pccs.va,Yes,xn--80aqecdr1a,Catholic,Cyrl,Yes,--,1-1311-52357
ком,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--j1aef,Transliteration of com,Cyrl,--,--,1-1254-23113
москва,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),http://www.faitid.org,RU,EUR,Mr. Jonas Bylund,faitid-app@sedari.com,Yes,xn--80adxhks,MOSKVA is the full name of the Russian capital - Moscow - in Russian,Cyrl,--,Yes,1-975-90576
онлайн,CORE Association,http://corenic.org,CH,EUR,Mr. Werner Staub,werner@axone.ch,Yes,xn--80asehdb,online,Cyrl,--,--,1-862-29948
орг,Public Interest Registry,http://www.pir.org,US,NA,Mr. Brian Andrew Cute,bcute@pir.org,Yes,xn--c1avg,Org (организация – organization),Cyrl,--,--,1-910-36696
рус,Rusnames Limited,,RU,EUR,Ms. Alexei Sozonov,a.sozon@gmail.com,Yes,xn--p1acf,"Means community of Russian speaking who originated in Kiev Rús in the 13 century. This includes but is not limited to residents of Belarus, Kazakhstan, Norway, Russia, Ukraine and the United States.",Cyrl,Yes,--,1-1957-68557
сайт,CORE Association,http://corenic.org,CH,EUR,Mr. Werner Staub,werner@axone.ch,Yes,xn--80aswg,site,Cyrl,--,--,1-862-90073
कॉम,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--11b4c3d,Transliteration of com,Deva,--,--,1-1254-28833
नेट,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--c2br7g,Transliteration of net,Deva,--,--,1-1254-86085
संगठन,Public Interest Registry,http://www.pir.org,US,NA,Mr. Brian Andrew Cute,bcute@pir.org,Yes,xn--i1b6b1a6a2e,Organization (Org),Deva,--,--,1-910-41904
一号店,"Wal-Mart Stores, Inc.",,US,NA,Joshua Bourne,bourne.wm@fairwindspartners.com,Yes,xn--4gq48lf9j,Number One Store,Hans,--,--,1-1244-37294
世界,Stable Tone Limited,,HK,AP,Mike Rodenbaugh,stabletonetld@rodenbaugh.com,Yes,xn--rhqv96g,"world, globe, universe (or similar)",Hans,--,--,1-1708-19635
中信,CITIC Group Corporation,http://www.citic.com,CN,AP,Mr. Jing Zhao,citicgroup@ymail.com,Yes,xn--fiQ64B,CITIC (China International Trust and Investment Corporation),Hans,--,--,1-914-3594
中文网,TLD REGISTRY LIMITED,http://internetregistry.info,IE,EUR,Mr. Michael Lerer,suomen-home@sedari.com,Yes,xn--fiq228c5hs,website in chinese,Hans,--,--,1-1939-78147
亚马逊,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--jlq480n2rg,Amazon,Hans,--,--,1-1318-5591
企业,"Dash McCook, LLC",,US,NA,Daniel Schindler,dashmccook@donuts.co,Yes,xn--vhquv,"Enterprise, firm, company.",Hans,--,--,1-1495-41000
佛山,"Guangzhou YU Wei Information Technology Co., Ltd.",,CN,AP,Mr. Ching Hong Seng,yuwei@zodiac-corp.com,Yes,xn--1qqw23a,Foshan,Hans,--,Yes,1-1121-69393
信息,Afilias Limited,,IE,EUR,John Kane,jkane@afilias.info,Yes,xn--vuq861b,info,Hans,--,--,1-868-7047
信息,"Beijing Tele-info Network Technology Co., Ltd.",http://www.tele-info.cn,CN,AP,Ms. Rui Liu,lr@tele-info.cn,Yes,xn--vuq861b,"""信息"" means knowledge or message in the form suitable for communications, storage, or processing, which is closely related to notions of form, meaning, pattern, perception, representation, and entropy.",Hans,--,--,1-995-44061
健康,Stable Tone Limited,,HK,AP,Mike Rodenbaugh,stabletonetld@rodenbaugh.com,Yes,xn--nyqy26a,healthy,Hans,--,--,1-1708-88054
八卦,Zodiac Scorpio Limited,http://www.zodiac-corp.com/,HK,AP,Mr. ChingHong Seng,scorpio@zodiac-corp.com,Yes,xn--45q11c,gossip,Hans,--,--,1-859-69634
公司,Computer Network Information Center of Chinese Academy of Sciences ?China Internet Network Information Center?,http://www.cnnic.cn,CN,AP,Mr. Xiangyang Huang,xyhuang@cnnic.cn,Yes,xn--55qx5d,"""公司"" means business organization. It is an association or collection of individual real persons and/or other companies. This group usually has a common focus and an aim of gaining profits.",Hans,--,--,1-932-93337
公益,China Organizational Name Administration Center,http://www.conac.cn,CN,AP,Mr. Yang Yu,leo@conac.cn,Yes,xn--55qw42g,public interest,Hans,--,--,1-922-7037
商城,Zodiac Capricorn Limited,http://www.zodiac-corp.com/,HK,AP,Mr. ChingHong Seng,capricorn2@zodiac-corp.com,Yes,xn--czru2d,mall,Hans,--,--,1-867-66064
商店,"Wild Island, LLC",,US,NA,Daniel Schindler,wildisland@donuts.co,Yes,xn--czrs0t,"Commercial shop or store, selling goods",Hans,--,--,1-1490-59840
商标,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,http://www.8hy.hk,HK,AP,Mr. XIANG LI,xiang.li1@huyi.cn,Yes,xn--czr694b,Trademark,Hans,--,--,1-1157-41509
嘉里,Kerry Trading Co. Limited,,HK,AP,Ms. Amy Sook Yee Wong,awong@kuokgroup.com,Yes,xn--w4rs40l,Kerry,Hani,--,--,1-928-57387
嘉里大酒店,Kerry Trading Co. Limited,,HK,AP,Ms. Amy Sook Yee Wong,awong@kuokgroup.com,Yes,xn--w4r85el8fhu5dnra,Kerry Hotel(s),Hani,--,--,1-928-73202
在线,TLD REGISTRY LIMITED,http://internetregistry.info,IE,EUR,Mr. Michael Lerer,suomen-idn@sedari.com,Yes,xn--3ds443g,online,Hans,--,--,1-1940-42600
大众汽车,"Volkswagen (China) Investment Co., Ltd.",http://www.vw.com.cn,CN,AP,Mr. Thomas Schell,tsc@indeca.de,Yes,xn--3oq18vl8pn36a,volkswagon,Hans,Yes,--,1-1824-64001
大拿,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--pssy2u,Transliteration of dot net,Hans,--,--,1-1254-52569
天主教,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),http://www.pccsva.org/,VA,EUR,Ms. Eloisa Romani,e.romani@pccs.va,Yes,xn--tiq49xqyj,Catholic,Hani,Yes,--,1-1311-58570
娱乐,"Will Bloom, LLC",,US,NA,Daniel Schindler,willbloom@donuts.co,Yes,xn--fjq720a,Entertainment,Hans,--,--,1-1491-83816
娱乐,Morden Media Limited,,KY,EUR,Mr. Alan Leh-Chiarng Chen,g.morden@zodiac-corp.com,Yes,xn--fjq720a,entertainment,Hans,--,--,1-963-13166
家電,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--fct429k,Consumer Electronics,Hani,--,--,1-1318-54339
工行,Industrial and Commercial Bank of China Limited,,CN,AP,Ms. qing peng,icbcidn-icann@hichina.com,Yes,xn--estv75g,工行 is a commonly used and wildly recognized Chinese abbreviation of the Industrial and Commercial Bank of China (ICBC). It is an official registered trademark of ICBC.,Hans,--,--,1-1011-2710
广东,"Guangzhou YU Wei Information Technology Co., Ltd.",,CN,AP,Mr. Ching Hong Seng,yuwei@zodiac-corp.com,Yes,xn--xhq521b,Guangdong,Hans,--,Yes,1-1121-17301
广东,Xinhua News Agency Guangdong Branch ?????????,http://www.gd.xinhua.org,CN,AP,Mr. Edmon Chung,info@tld.asia,Yes,xn--xhq521b,Guangdong,Hans,Yes,Yes,1-1309-35206
广州,"Guangzhou YU Wei Information Technology Co., Ltd.",,CN,AP,Mr. Ching Hong Seng,yuwei@zodiac-corp.com,Yes,xn--6rtwn,Guangzhou,Hans,--,Yes,1-1121-22691
微博,Tencent Holdings Limited,http://tencent.com,CN,AP,Zhe Feng,zhefeng@tencent.com,Yes,xn--9krt00a,Microblogging,Hans,--,--,1-1313-58483
微博,Sina Corporation,http://www.sina.com.cn,CN,AP,Ms. Haiyan Gu,haiyan@staff.weibo.com,Yes,xn--9krt00a,"The transliteration of applied-for string in English is ""Wei-bo"". ""Wei"" and ""Bo"" means ""Minute or Small"" and ""abundant, plentiful, rich"", respectively.",Hans,--,--,1-950-28485
慈善,Excellent First Limited,,KY,EUR,Mr. Alan Chen,g.excellent@zodiac-corp.com,Yes,xn--30rr7y,charity,Hans,--,--,1-961-6109
我爱你,Tycoon Treasure Limited,,KY,EUR,Mr. Alan Chen,g.tycoon@zodiac-corp.com,Yes,xn--6qq986b3xl,i love you,Hans,--,--,1-960-63893
手机,"Beijing RITT-Net Technology Development Co., Ltd",http://www.rntd.cn,CN,AP,John Kane,Jkane1@afilias.info,Yes,xn--kput3i,Cell,Hans,--,--,1-1013-60869
手表,Richemont DNS Inc.,http://www.richemont.com,CH,EUR,Ms. Lorna Gradden,lorna.gradden.ri@valideus.com,Yes,xn--kpu716f,Watches,Hans,--,--,1-1253-73407
招聘,HU YI GLOBAL INFORMATION RESOURCES (HOLDING) COMPANY. HONGKONG LIMITED,http://www.8hy.hk,HK,AP,Mr. XIANG LI,xiang.li2@huyi.cn,Yes,xn--otu796d,Recruitment,Hans,--,--,1-1158-95080
政务,China Organizational Name Administration Center,http://www.conac.cn,CN,AP,Mr. Yang Yu,leo@conac.cn,Yes,xn--zfr164b,government and government affairs,Hans,Yes,--,1-922-56316
政府,"Net-Chinese Co., Ltd.",http://www.netc.tw,TW,AP,Mr. David Liu,foreign@net-chinese.com.tw,Yes,xn--mxtq1m,"This string indicates public affairs and public sectors including governmental organizations, public institutions, or any related organizations supported by government to provide public services",Hani,--,--,1-1658-94344
新闻,Xinhua News Agency Guangdong Branch ?????????,http://www.gd.xinhua.org,CN,AP,Mr. Edmon Chung,info@tld.asia,Yes,xn--efvy88h,news,Hans,--,--,1-1309-40591
时尚,RISE VICTORY LIMITED,,CN,AP,Mr. Ching Hong Seng,rise@zodiac-corp.com,Yes,xn--9et52u,"vogue, fashion",Hans,--,--,1-1120-95098
普利司通,Bridgestone Corporation,http://www.bridgestone.co.jp,JP,AP,Mr. Mitsuaki Nakagawa,nakagawa_08@brights.jp,Yes,xn--kcrx7bb75ajk3b,"普利司通 are the Chinese characters representing “Bridgestone”, meant to be read roughly similar to the pronunciation of “Bridgestone” in English. The string doesn't hold any particular meaning in Chinese",Hans,--,--,1-954-90045
机构,Public Interest Registry,http://www.pir.org,US,NA,Mr. Brian Andrew Cute,bcute@pir.org,Yes,xn--nqv7f,Org (Organization),Hans,--,--,1-910-16443
机构体制,Public Interest Registry,http://www.pir.org,US,NA,Mr. Brian Andrew Cute,bcute@pir.org,Yes,xn--tqq33ed31aqia,Org (Organization / Institution),Hans,--,--,1-910-25137
欧莱雅,L'Oréal,http://www.loreal.com,FR,EUR,Mr. Georges-Edouard Dias,Georges-Edouard.DIAS@loreal.com,Yes,xn--dkwm73cwpn,L'Oréal,Hans,--,--,1-1302-55079
淡马锡,Temasek Holdings (Private) Limtied,http://www.temasek.com.sg,SG,AP,Mr. Hatta Ruslan,harriet@temasek.com.sg,Yes,xn--b4w605ferd,temasek – the applicant’s main brand in (simplified) Chinese script,Hans,--,--,1-848-71299
深圳,"Guangzhou YU Wei Information Technology Co., Ltd.",,CN,AP,Mr. Ching Hong Seng,yuwei@zodiac-corp.com,Yes,xn--fes124c,Shenzhen,Hans,--,Yes,1-1121-82863
游戏,"Spring Fields, LLC",,US,NA,Daniel Schindler,springfields@donuts.co,Yes,xn--unup4y,Game(s),Hans,--,--,1-1485-72605
点看,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--3pxu8k,Transliteration of dot com,Hans,--,--,1-1254-85868
珠宝,Richemont DNS Inc.,http://www.richemont.com,CH,EUR,Ms. Lorna Gradden,lorna.gradden.ri@valideus.com,Yes,xn--pbt977c,Jewelry,Hans,--,--,1-1253-4621
盛貿飯店,Shangri?La International Hotel Management Limited,http://www.shangri-la.com,HK,AP,Ms. Amy Sook Yee Wong,awong@shangri-la.com,Yes,xn--hxt035cmppuel,Traders Hotel(s),Hant,--,--,1-940-75591
盛贸饭店,Shangri?La International Hotel Management Limited,http://www.shangri-la.com,HK,AP,Ms. Amy Sook Yee Wong,awong@shangri-la.com,Yes,xn--hxt035czzpffl,Traders Hotel(s),Hans,--,--,1-940-43388
移动,Afilias Limited,,IE,EUR,John Kane,jkane@afilias.info,Yes,xn--6frz82g,Mobile,Hans,--,--,1-868-82489
网址,HU YI GLOBAL INFORMATION RESOURCES (HOLDING) COMPANY. HONGKONG LIMITED,http://www.8hy.hk,HK,AP,Mr. XIANG LI,XIANG.LI3@HUYI.CN,Yes,xn--ses554g,"Netaddress (network address, URL)",Hans,--,--,1-1159-3507
网址,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Antony Van Couvering,tas.minds.machines.3@gmail.com,Yes,xn--ses554g,website,Hans,--,--,1-994-51307
网店,Global eCommerce TLD Asia Limited,,HK,AP,Ms. Rebecca Yuk Ying Chan,globalecommerceasia@namesphere.asia,Yes,xn--hxt814e,Webstore. The Registry wishes to apply .店 (.dian) but current rules disallow 1 char IDN TLD & GNSO policy advises against ASCII squatting (.dian is ASCII squatting as 1 char IDN TLDs are not allowed),Hani,--,--,1-2102-26509
网店,Zodiac Libra Limited,http://www.zodiac-corp.com/,HK,AP,Mr. ChingHong Seng,libra@zodiac-corp.com,Yes,xn--hxt814e,"webshop, e-shop",Hans,--,--,1-858-36255
网站,RISE VICTORY LIMITED,,CN,AP,Mr. Ching Hong Seng,rise@zodiac-corp.com,Yes,xn--5tzm5g,"website, homepage, portal",Hans,--,--,1-1120-42188
网站,Global Website TLD Asia Limited,,HK,AP,Ms. Rebecca Yuk Ying Chan,globalwebsiteasia@namesphere.asia,Yes,xn--5tzm5g,Website. Registry wishes to apply .网 (.wang) but current rules disallow 1 char IDN TLD & GNSO policy advises against ASCII squatting (.wang would be ASCII squatting as 1 char IDN TLDs are not allowed),Hani,--,--,1-2101-67873
网络,Computer Network Information Center of Chinese Academy of Sciences ?China Internet Network Information Center?,http://www.cnnic.cn,CN,AP,Mr. Xiangyang Huang,xyhuang@cnnic.cn,Yes,xn--io0a7i,"The string of ""网络"" means network. It is a collection of hardware components and computers interconnected by communication channels that allow sharing of resources and information.",Hans,--,--,1-932-13797
联通,China United Network Communications Corporation Limited,http://www.chinaunicom.com,CN,AP,XiaoMin Zhou,zhouxm@chinaunicom.cn,Yes,xn--8y0a063a,Unicom,Hans,--,--,1-996-21855
诺基亚,Nokia Corporation,http://www.nokia.com,FI,EUR,Ms. Lorna Jean Gradden,lorna.gradden.no@valideus.com,Yes,xn--jlq61u9w7b,Nokia,Hans,--,--,1-957-40223
谷歌,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact2@google.com,Yes,xn--flw351e,"Chinese for ""Google""",Hani,--,--,1-1141-36998
购物,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Antony Van Couvering,tas.minds.machines.3@gmail.com,Yes,xn--g2xx48c,shopping,Hans,--,--,1-994-1450
通用电气公司,GE GTLD Holdings LLC,,US,NA,Mr. Brad Newberg,bnewberg@reedsmith.com,Yes,xn--55qx5d8y0buji4b870u,Gecompany,Hans,--,--,1-1330-89853
通販,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--gk3at1e,Online Shopping,Hani,--,--,1-1318-15593
集团,Eagle Horizon Limited,,KY,EUR,Mr. Alan Leh-Chiarng Chen,g.eagle@zodiac-corp.com,Yes,xn--3bst00m,"conglomerate, group",Hans,--,--,1-962-55795
電訊盈科,PCCW Enterprises Limited,www.pccw.com,HK,AP,Mr. Edmon Chung,info@tld.asia,Yes,xn--fzys8d69uvgm,PCCW -- Pacific Century Cyber Works,Hant,--,--,1-1309-63598
飞利浦,Koninklijke Philips Electronics N.V.,http://www.philips.com,NL,EUR,Ms. Ingrid Baele,Baele.i@philips.com,Yes,xn--kcrx77d1x4a,Philips,Hani,--,--,1-1748-14964
食品,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--jvr189m,Food,Hani,--,--,1-1318-83264
餐厅,HU YI GLOBAL INFORMATION RESOURCES (HOLDING) COMPANY. HONGKONG LIMITED,http://www.8hy.hk,HK,AP,Mr. LI XIANG,XIANG.LI@HUYI.CN,Yes,xn--imr513n,Restaurant,Hans,--,--,1-1103-5695
香格里拉,Shangri?La International Hotel Management Limited,http://www.shangri-la.com,HK,AP,Ms. Amy Sook Yee Wong,awong@shangri-la.com,Yes,xn--5su34j936bgsg,Shangri-La,Hani,--,--,1-940-19689
香港電訊,PCCW-HKT DataCom Services Limited,www.hkt.com,HK,AP,Mr. Edmon Chung,info@tld.asia,Yes,xn--j6w470d71issc,Hong Kong Telecom,Hant,--,--,1-1309-10813
點看,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--c1yn36f,Transliteration of dot com,Hant,--,--,1-1254-86222
닷넷,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--t60b56a,Transliteration of dot net,Hang,--,--,1-1254-76331
닷컴,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--mk1bu44c,Transliteration of dot com,Hang,--,--,1-1254-16209
삼성,"SAMSUNG SDS CO., LTD",http://www.sds.samsung.co.kr,KR,AP,Ms. Yujeong Shin,samsung@yesnic.com,Yes,xn--cg4bki,The gTLD string is korean name of SAMSUNG.,Hang,--,--,1-955-42062
קוֹם,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--hdb9cza1b,Transliteration of com,Hebr,--,--,1-1254-29622
みんな,Charleston Road Registry Inc.,,US,NA,Ms. Sarah Falvey,tas-contact8@google.com,Yes,xn--q9jyb4c,"Japanese for ""everyone""",Jpan,--,--,1-1678-4149
グーグル,Charleston Road Registry Inc.,,US,NA,Sarah Falvey,tas-contact@google.com,Yes,xn--qcka1pmc,Google,Jpan,--,--,1-1099-81471
アマゾン,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--cckwcxetd,Amazon,Kana,--,--,1-1318-83995
クラウド,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--gckr3f0f,Cloud,Kana,--,--,1-1318-69604
コム,VeriSign Sarl,http://www.verisigninc.com/en_CH/index.xhtml?loc=en_CH#/site_owners,CH,EUR,Ms. Sarah Elizabeth Langstone,SarahLangstoneVRSN@verisign.com,Yes,xn--tckwe,Transliteration of com,Kana,--,--,1-1254-37311
ストア,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--cck2b3b,Store,Kana,--,--,1-1318-83013
セール,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--1ck2e1b,Sale,Kana,--,--,1-1318-75179
ファッション,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--bck1b9a5dre4c,Fashion,Kana,--,--,1-1318-40887
ポイント,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--eckvdtc9d,Point,Kana,--,--,1-1318-7184
書籍,Amazon EU S.à r.l.,http://www.amazon.com/,LU,EUR,Ms. Lorna Jean Gradden,lorna.gradden.am3@valideus.com,Yes,xn--rovu88b,Book,Kana,--,--,1-1318-52278
AAA,"American Automobile Association, Inc.",http://www.aaa.com,US,NA,Mr. Christopher Niemi,cniemi2@markmonitor.com,--,--,--,--,--,--,1-1386-27446
AARP,AARP,,US,NA,Joshua Bourne,bourne.ap@fairwindspartners.com,--,--,--,--,--,--,1-1169-4534
ABARTH,"Fiat S.p.A. (""società per azioni"")",http://www.fiatspa.com,IT,EUR,Gretchen Olive,cscngtlds54@cscinfo.com,--,--,--,--,--,--,1-2072-28769
ABB,ABB Ltd,http://abb.com,CH,EUR,Ms. Natalie Eliasson,natalie.eliasson@ch.abb.com,--,--,--,--,--,--,1-1673-93106
ABBOTT,Abbott Laboratories,http://www.abbott.com,US,NA,Philip Lodico,lodico.ab@fairwindspartners.com,--,--,--,--,--,--,1-1765-99580
ABBVIE,Abbott Laboratories,http://www.abbott.com,US,NA,Philip Lodico,lodico.av@fairwindspartners.com,--,--,--,--,--,--,1-1766-21421
ABC,"American Broadcasting Companies, Inc.",,US,NA,Jonathon Luper,duke.luper@disney.com,--,--,--,--,--,--,1-1146-98846
ABLE,Able Inc.,http://www.able.co.jp/,JP,AP,Mr. Jacob Williams,applications@urbanbrain.com,--,--,--,--,--,--,1-901-17807
ABOGADO,Top Level Domain Holdings Limited,http://www.tldh.org,VG,EUR,Mr. Antony Van Couvering,tas.minds.machines@gmail.com,--,--,--,--,--,--,1-927-56004
ABUDHABI,Abu Dhabi Systems and Information Centre,http://adsic.abudhabi.ae,AE,AP,Mr. Hussam Bassam Zakarni,hussam.zakarni@adsic.abudhabi.ae,--,--,--,--,--,Yes,1-1924-90958
ACADEMY,"Half Oaks, LLC",,US,NA,Daniel Schindler,halfoaks@donuts.co,--,--,--,--,--,--,1-1336-51768
ACCENTURE,Accenture Global Services Limited,http://www.accenture.com,IE,EUR,Mr. Eoghan Slye,eoghan.slye@accenture.com,--,--,--,--,--,--,1-2024-58277
ACCOUNTANT,dot Accountant Limited,,GI,EUR,Mr. Geir Andreas Rasmussen,icanntas58@famousfourmedia.com,--,--,--,--,--,--,1-1240-93305
ACCOUNTANTS,"Knob Town, LLC",,US,NA,Daniel Schindler,knobtown@donuts.co,--,--,--,--,--,--,1-1340-40734
ACER,Acer Incorporated,http://www.acer.com/worldwide/selection.html,TW,AP,Yi Peng Chen,Kathy_Chen@acer.com.tw,--,--,--,--,--,--,1-2038-17410
ACO,ACO Severin Ahlmann GmbH & Co. KG,http://www.aco.com,DE,EUR,Mr. Florian Nahnsen,newtld@aco.com,--,--,--,--,Yes,--,1-1026-17004
ACTIVE,"The Active Network, Inc",http://www.activenetwork.com,US,NA,Greg Ingino,greg.ingino@activenetwork.com,--,--,--,--,--,--,1-1008-95821
